$\theta$,,0.5,,,,,,0.99,,,,,,
Benchmark,, Running Time [GPU h],,# Solved,,Portfolio [%],,Running Time [GPU h],,# Solved,,Portfolio [%],
MNIST_6_100,,20.74,(34%), 694,(-17), 0.0,,78.1,(129%), 710,(-1), 53.32,,
MNIST_9_100,,14.85,(21%), 549,(-36), 0.58,,62.19,(88%), 585,(+-0), 33.99,,
MNIST_CONV_BIG,,1.05,(55%), 925,(+7), 26.67,,2.58,(135%), 925,(+7), 100.0,,
MNIST_CONV_SMALL,,2.91,(152%), 977,(+-0), 0.0,,4.81,(252%), 977,(+-0), 77.21,,
CIFAR_RESNET_2B,,4.08,(24%), 602,(-15), 0.59,,15.33,(92%), 616,(-1), 57.74,,
MARABOU,,3.3,(6%), 190,(-2), 0.0,,18.13,(35%), 195,(+3), 10.36,,
OVAL21,,5.79,(11%), 189,(-18), 0.54,,33.3,(65%), 208,(+1), 28.06,,
SRI_RESNET_A,,7.77,(15%), 172,(-23), 0.0,,12.05,(23%), 193,(-2), 16.69,,
CIFAR_100,,7.52,(28%), 350,(-10), 0.0,,23.25,(88%), 361,(+1), 29.51,,
TINY_IMAGENET,,10.3,(58%), 401,(-17), 0.0,,23.42,(133%), 419,(+1), 42.14,,
