,,$\theta$=0.5,,,,,,,,,,,,,,
,,$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
Benchmark,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved
MNIST_6_100,,16.14,(51%),847,(-21),,3.01,(5%),552,(-28),,2.27,(3%),416,(-14),,
MNIST_9_100,,11.73,(28%),742,(-25),,2.25,(3%),473,(-28),,1.86,(2%),384,(-4),,
MNIST_CONV_BIG,,0.17,(12%),917,(-1),,1.64,(15%),846,(-22),,0.84,(5%),825,(-14),,
MNIST_CONV_SMALL,,0.98,(78%),968,(-11),,3.1,(26%),903,(-28),,2.58,(42%),942,(-14),,
CIFAR_RESNET_2B,,0.75,(5%),604,(-15),,1.13,(5%),565,(-11),,-,,-,,,
MARABOU,,1.07,(2%),188,(-5),,0.97,(2%),162,(-14),,1.12,(2%),175,(-8),,
OVAL21,,1.8,(4%),195,(-15),,1.59,(3%),138,(-20),,1.83,(3%),173,(-30),,
VIT,,1.95,(5%),248,(-3),,-,,-,,,-,,-,,,
SRI_RESNET_A,,1.64,(3%),189,(-9),,1.45,(2%),125,(-8),,-,,-,,,
CIFAR_100,,1.58,(6%),348,(-13),,2.57,(6%),251,(-28),,-,,-,,,
TINY_IMAGENET,,1.36,(9%),409,(-12),,4.64,(16%),322,(-34),,-,,-,,,
