,,$\theta$=0.8,,,,,,,,,,,,,,$\theta$=0.9,,,,,,,,,,,,,,
,,$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
Benchmark,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved
MNIST_6_100,,22.15,(36%),699,(-12),,7.87,(11%),563,(-12),,2.99,(3%),418,(-6),,MNIST_6_100,,23.78,(39%),705,(-6),,10.95,(16%),567,(-8),,3.63,(4%),421,(-3),,
MNIST_9_100,,14.86,(21%),570,(-15),,1.72,(2%),429,(-68),,2.23,(2%),384,(-2),,MNIST_9_100,,16.77,(24%),577,(-8),,7.89,(10%),491,(-6),,2.6,(3%),385,(-1),,
MNIST_CONV_BIG,,0.29,(15%),917,(-1),,3.74,(30%),859,(-9),,2.37,(16%),844,(-4),,MNIST_CONV_BIG,,0.64,(33%),918,($\pm$0),,4.5,(37%),867,(-1),,3.25,(23%),845,(-3),,
MNIST_CONV_SMALL,,1.83,(96%),977,($\pm$0),,9.28,(69%),921,(-7),,4.06,(53%),944,(-3),,MNIST_CONV_SMALL,,1.91,(100%),977,($\pm$0),,10.96,(82%),925,(-3),,5.38,(70%),947,($\pm$0),,
CIFAR_RESNET_2B,,2.57,(15%),611,(-6),,2.99,(13%),562,(-11),,-,,-,,,CIFAR_RESNET_2B,,3.18,(19%),612,(-5),,4.56,(19%),571,(-2),,-,,-,,,
MARABOU,,1.3,(2%),189,(-3),,1.19,(2%),157,(-16),,1.5,(3%),178,(-4),,MARABOU,,1.81,(3%),190,(-2),,1.19,(2%),157,(-16),,2.26,(4%),180,(-2),,
OVAL21,,3.1,(6%),198,(-9),,1.3,(2%),104,(-52),,3.49,(6%),178,(-13),,OVAL21,,3.78,(7%),202,(-5),,5.88,(10%),146,(-10),,5.0,(9%),183,(-8),,
VIT,,2.03,(5%),248,(-3),,-,,-,,,-,,-,,,VIT,,2.23,(5%),249,(-2),,-,,-,,,-,,-,,,
SRI_RESNET_A,,3.06,(6%),188,(-7),,1.29,(2%),100,(-30),,-,,-,,,SRI_RESNET_A,,3.36,(6%),190,(-5),,1.29,(2%),100,(-30),,-,,-,,,
CIFAR_100,,3.82,(14%),349,(-11),,5.73,(14%),246,(-24),,-,,-,,,CIFAR_100,,5.31,(20%),356,(-4),,7.39,(17%),255,(-15),,-,,-,,,
TINY_IMAGENET,,4.95,(28%),409,(-9),,11.31,(33%),335,(-14),,-,,-,,,TINY_IMAGENET,,5.63,(32%),413,(-5),,13.09,(38%),339,(-10),,-,,-,,,
