$\theta$,,0.9,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.99, 0.99, 0.01, 0.95, 0.97, 0.11, 0.99, 1.0, 0.07, 
MNIST ERAN, MNIST_9_100,0.98, 0.99, 0.02, 0.97, 0.98, 0.11, 1.0, 1.0, 0.07, 
MNIST ERAN, MNIST_CONV_BIG,0.87, 0.9, 1.0, 0.97, 0.95, 0.01, 0.92, 0.94, 0.2, 
MNIST ERAN, MNIST_CONV_SMALL,0.82, 1.0, 0.2, 0.96, 0.9, 0.01, 0.91, 0.64, 0.01, 
CIFAR 10, CIFAR_RESNET_2B,0.99, 1.0, 0.03, 0.96, 0.95, 0.0, -,-,-,
CIFAR 10, MARABOU,1.0, 1.0, 0.1, 0.95, 0.98, 0.73, 0.98, 1.0, 0.33, 
CIFAR 10, OVAL21,0.98, 1.0, 0.08, 0.97, 0.99, 0.19, 0.96, 0.98, 0.14, 
CIFAR 10, VIT,0.99, 0.99, 0.1, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.99, 1.0, 0.04, 0.99, 0.99, 0.05, -,-,-,
LARGE RESNET, CIFAR_100,0.97, 1.0, 0.09, 0.95, 0.98, 0.08, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.98, 1.0, 0.06, 0.97, 0.96, 0.02, -,-,-,
